2,31E+12;POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI;RODOVIA RS 040 KM 18,3536;;AGUAS CLARAS;VIAMAO;RS;GASOLINA C COMUM;4,299;10/10/19 17:08;2020-04-21
2,31E+12;POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI;RODOVIA RS 040 KM 18,3536;;AGUAS CLARAS;VIAMAO;RS;ETANOL;3,899;10/10/19 17:08;2020-04-21
2,31E+12;POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI;RODOVIA RS 040 KM 18,3536;;AGUAS CLARAS;VIAMAO;RS;GNV;3,599;10/10/19 17:08;2020-04-21
2,31E+12;POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI;RODOVIA RS 040 KM 18,3536;;AGUAS CLARAS;VIAMAO;RS;DIESEL S500;3,699;10/10/19 17:08;2020-04-21
2,31E+12;POSTO DE COMBUSTIVEL DA FIGUEIRA EIRELI;RODOVIA RS 040 KM 18,3536;;AGUAS CLARAS;VIAMAO;RS;DIESEL S10;3,799;10/10/19 17:08;2020-04-21
2,31E+12;POSTO DA FIGUEIRA II;AVENIDA SENADOR SALGADO FILHO,9565;;COHAB;VIAMAO;RS;GASOLINA C COMUM;4,399;14/10/19 15:17;2020-04-21
2,31E+12;POSTO DA FIGUEIRA II;AVENIDA SENADOR SALGADO FILHO,9565;;COHAB;VIAMAO;RS;DIESEL S500;3,699;14/10/19 15:17;2020-04-21
2,31E+12;POSTO DA FIGUEIRA II;AVENIDA SENADOR SALGADO FILHO,9565;;COHAB;VIAMAO;RS;DIESEL S10;3,799;14/10/19 15:17;2020-04-21
2,32E+12;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430;;SAO JOAO;ITAJAI;SC;GASOLINA C COMUM;3,799;14/08/18 12:18;2020-04-21
2,32E+12;POSTO 1350 LTDA;RUA HEITOR LIBERATO,2430;;SAO JOAO;ITAJAI;SC;ETANOL;3,299;14/08/18 12:18;2020-04-21
